time,.TimeStep,.Agent,.Target,.LambdaMin,.TMu,.TMuDim,.TCov,.TCovDim
1969/12/31/17:04:18.616000,25,X2,T1,-0.198830628287983,"(4.4288862125768, 2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(2.507546834654235, 3.9617410655431966, -0.30049869756034026, 0.15608824196564952, 3.961741065543199, 10.711294983490724, -0.1321594943012746, -2.1440340531115125, -0.3004986975603433, -0.13215949430128202, 1.8972319614312065, 4.149370443116046, 0.1560882419656501, -2.1440340531115076, 4.149370443116046, 11.182992707046255)","(4, 4)"
1969/12/31/17:04:18.707000,26,X2,T1,-3.28171242490325,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.5633594836671664, 0.6379777257681485, -0.884076750206814, -1.4165536770462606, 0.6379777257681507, -0.39652264828780154, -1.2739427473135567, -1.3828660598512739, -0.8840767502068159, -1.2739427473135665, -1.343572571857267, -2.6227542540210194, -1.4165536770462648, -1.382866059851294, -2.6227542540210234, -5.558526973001574)","(4, 4)"
1969/12/31/17:04:18.713000,26,X1,T1,0.647747145331583,"(1.4288862125768, 7.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(2.062648276600699, 2.615232826935237, -0.3566078961861378, -0.16730397231126762, 2.6152328269352365, 0.7711861188271295, -0.2982753080498531, 1.525492263710324, -0.3566078961861376, -0.29827530804985236, 1.3308522215649736, 2.0671754261060387, -0.16730397231126776, 1.5254922637103248, 2.0671754261060387, 1.7123926842078485)","(4, 4)"
1969/12/31/17:04:18.809000,27,X2,T1,0.734963296213782,"(2.4288862125768, -2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.2080511598528367, 1.2880704357127462, 0.5069210920316344, 1.1326990432962343, 1.2880704357127457, 0.4462224788474789, 0.8314590835262339, 2.466549070486155, 0.5069210920316347, 0.8314590835262351, 2.436900014736769, 3.892164626721868, 1.1326990432962354, 2.466549070486156, 3.892164626721868, 6.126034699524012)","(4, 4)"
1969/12/31/17:04:18.811000,27,X1,T1,0.703238818286045,"(1.4288862125768, 4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.5859291928949073, 1.6313083645505393, -0.22856672721079788, -0.031086273664467926, 1.6313083645505408, -0.9865866054977027, -0.09686993771082995, 1.8882276518786594, -0.22856672721079663, -0.0968699377108287, 1.1125561412224556, 1.354221240560964, -0.03108627366446716, 1.8882276518786596, 1.3542212405609637, 0.2548820294486648)","(4, 4)"
1969/12/31/17:04:18.902000,28,X2,T1,0.730903860826583,"(-1.4288862125768, -4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.8977973357233069, 0.6688887761543535, -0.38661377799782887, -0.2452227918257888, 0.6688887761543534, -0.43743174947319136, -0.2866515187575429, 0.7772211357934576, -0.3866137779978289, -0.286651518757543, 0.17618485028135686, 0.1180463675954854, -0.24522279182578885, 0.7772211357934574, 0.11804636759548542, 0.1446282391265476)","(4, 4)"
1969/12/31/17:04:18.902000,28,X1,T1,0.730482331755734,"(3.4288862125768, 2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.3463950229174386, 1.0658922065299956, -0.18822163629554636, 0.045481439402604754, 1.0658922065299923, -2.045828140431686, 0.012588702014860863, 2.251732879962251, -0.18822163629554753, 0.01258870201486855, 0.9491987370312723, 0.8798840497706499, 0.045481439402605836, 2.251732879962262, 0.8798840497706559, -0.5600032315903344)","(4, 4)"
1969/12/31/17:04:19.008000,29,X2,T1,0.731738343291017,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.021906094447403, 0.6011471689691072, -0.3831182703836573, -0.1567493716165282, 0.6011471689691072, -0.6145339782341556, -0.18088805552703008, 1.0949909321018878, -0.38311827038365726, -0.18088805552703005, 0.2903403688097944, 0.14685786718314225, -0.15674937161652827, 1.0949909321018876, 0.14685786718314228, 0.2960191111289037)","(4, 4)"
1969/12/31/17:04:19.018000,29,X1,T1,0.053869856515507,"(-2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(2.1039375528516127, 1.2233483003173795, -0.5123076300882983, -0.32253356359456903, 1.2233483003173802, -45.63713062334508, 0.2964430460970139, 35.1060281342745, -0.5123076300882982, 0.29644304609701433, 1.0928642396559636, -0.2919725520280126, -0.32253356359457, 35.1060281342745, -0.29197255202801226, -23.402571671106106)","(4, 4)"
1969/12/31/17:04:19.111000,30,X1,T1,0.610782845966188,"(2.4288862125768, 5.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.6879911343008451, -0.9592529790677797, -0.24205572494038385, 1.266033750932114, -0.9592529790677812, -83.31381910209359, 2.7849899513116174, 64.65951062647788, -0.2420557249403838, 2.7849899513116174, 0.9905534910240014, -1.90455019454943, 1.2660337509321142, 64.65951062647788, -1.9045501945494308, -44.31683344202847)","(4, 4)"
1969/12/31/17:04:19.114000,30,X2,T1,0.723343352007648,"(3.4288862125768, 7.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.0635624264708634, 0.5056740263464149, -0.32185797983952824, -0.033962449026684535, 0.5056740263464149, -0.8349859967118192, -0.023773593140449148, 1.511851245861921, -0.32185797983952824, -0.023773593140449103, 0.4208174537797694, 0.20630260755910407, -0.03396244902668455, 1.5118512458619213, 0.20630260755910412, 0.505260738583946)","(4, 4)"
1969/12/31/17:04:19.209000,31,X2,T1,0.722582868256626,"(2.4288862125768, -2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.0620230980447904, 0.40397660013584613, -0.2296058808443071, 0.11020040528522153, 0.4039766001358461, -1.1237174527485059, 0.16426442182113085, 2.032398161248587, -0.22960588084430714, 0.16426442182113088, 0.5614297822624095, 0.29206837224298265, 0.11020040528522151, 2.032398161248587, 0.2920683722429827, 0.7606506794383183)","(4, 4)"
1969/12/31/17:04:19.218000,31,X1,T1,0.669594303116708,"(5.4288862125768, 4.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(0.7979933164449887, -13.805889176792913, 0.56432096756508, 10.948255330418437, -13.805889176792919, -305.7065949394059, 16.218068364611444, 232.67689686483263, 0.56432096756508, 16.21806836461144, 0.1836608251171169, -11.699078439732604, 10.948255330418442, 232.67689686483266, -11.699078439732604, -168.71443375798972)","(4, 4)"
1969/12/31/17:04:24.502000,32,X1,T1,0.743966259198554,"(-1.4288862125768, 6.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(1.8172762449503113, 13.431759374630072, -1.469783216597414, -9.938402044552797, 13.43175937463008, 144.97472896864113, -5.447893147480716, -98.24339498757676, -1.4697832165974143, -5.447893147480715, -0.1006581109537577, 2.978155239575045, -9.938402044552804, -98.24339498757676, 2.9781552395750452, 74.41670214647755)","(4, 4)"
1969/12/31/17:04:24.515000,32,X2,T1,0.726744417235339,"(4.4288862125768, 2.08503913261282, -6.550056869066598, -1.2584916015302572)","(4, 1)","(-0.52361268643863, 0.035217276448630125, 0.371301338163728, 0.05352081953780378, 0.035217276448630166, -1.577627852889775, 0.46663070500042275, 2.642032618118714, 0.37130133816372807, 0.466630705000423, 0.5640283808865232, 0.47232598830157885, 0.053520819537803715, 2.6420326181187144, 0.4723259883015789, 1.0089965149912372)","(4, 4)"
